Country,year,Country_code,GDPcap,advecon,Banking,Currency,Debt,IMF,LLevels1,LLevels2,LLevels3,LLevels4,LLevels5,FLevels1,FLevels2,FLevels3,FLevels4,FLevels5,FLevels6,ID,Diff1,SqError
Liberia,1980,LBR,2155.9106,0,0.0,0.0,1.0,1,2421.2498,2500.7737,2516.3406,2673.8325,2468.5283,1779.188,1699.5197,1621.822,1492.0203,1483.8372,1446.1375,80,-432.0976195995331,25342.129456815976
Sri Lanka,1978,LKA,2662.6455,0,0.0,1.0,0.0,1,2743.2905,2824.5266,2965.634,3128.8408,3124.3567,2210.0322,2042.4895,2258.4131,2222.363,2269.7903,2392.2878,81,-406.8616324697291,701.3040727832888
Latvia,2008,LVA,20213.395,1,1.0,0.0,0.0,1,19076.633,16374.652,14778.185,13208.034,12324.422,17565.057,18114.189,19956.527,20780.982,21702.117,22512.566,83,-1569.392298266106,315237.6011359023
Morocco,1980,MAR,2659.8687,0,1.0,0.0,0.0,1,2724.1545,2622.394,2548.3826,2548.272,2427.4717,2580.6611,2786.0815,2938.5095,3063.1609,3298.4023,3643.6084,84,-202.8594084162023,4398.3749912107105
Morocco,1983,MAR,2938.5095,0,0.0,0.0,1.0,1,2786.0815,2580.6611,2659.8687,2724.1545,2622.394,3063.1609,3298.4023,3643.6084,3663.9741,4048.8306,3996.1196,85,95.3655457896748,6304.190324941967
Moldova,1999,MDA,1792.5872,0,0.0,1.0,0.0,1,2047.7849,2422.3882,2502.4885,2683.5518,2532.3206,1814.3708,1923.5128,2091.3381,2272.9431,2443.9485,2613.2786,86,-51.55423153705556,49542.17042193859
Madagascar,1981,MDG,1317.2917,0,0.0,0.0,1.0,1,1424.0708,1461.2058,1363.0656,1440.5458,1455.974,1294.3113,1335.9531,1347.0107,1362.8584,1611.8016,1483.2374,87,-64.13855704328921,10846.372428045046
Madagascar,1984,MDG,1347.0107,0,0.0,1.0,0.0,1,1335.9531,1294.3113,1317.2917,1424.0708,1461.2058,1362.8584,1611.8016,1483.2374,1396.4055,1325.6981,1265.5713,88,33.37389955202116,984.898597768944
Madagascar,1988,MDG,1396.4055,0,1.0,0.0,0.0,1,1483.2374,1611.8016,1362.8584,1347.0107,1335.9531,1325.6981,1265.5713,1178.4698,1115.3071,1097.1191,1074.4326,89,-188.4983860965542,35129.32431074721
Mexico,1977,MEX,9878.4463,0,0.0,1.0,0.0,1,9799.8574,9548.2559,9313.4473,9015.7021,8599.457,10525.508,11377.85,12441.957,13247.714,12915.753,11988.731,90,377.2935366924503,200.15869451831736
Mexico,1994,MEX,13461.308,0,1.0,0.0,0.0,1,12940.729,11763.062,11509.802,11282.538,10853.701,10873.527,11250.285,11973.257,12481.502,12939.636,13308.789,91,-2097.278543639226,179398.09346121678
Mali,1987,MLI,784.7818,0,1.0,0.0,0.0,1,882.32941,867.96564,695.59821,704.86102,737.66608,675.80243,693.82196,664.81232,733.92639,663.51202,684.26923,92,-337.47045609722613,461585.4677135447
Mongolia,1990,MNG,3314.832,0,0.0,1.0,0.0,1,2393.8809,2456.6035,2379.783,2248.5605,2139.6819,2401.6477,2251.2,1837.1147,1969.9396,2537.2302,2313.8713,93,-966.9231803378257,89110.2765023892
Mongolia,1997,MNG,2417.5723,0,0.0,1.0,0.0,1,2313.8713,2537.2302,1969.9396,1837.1147,2251.2,2296.448,2395.9275,2735.5266,2999.551,3262.095,3574.6257,94,-214.8809858132463,153979.01178478802
