Country,year,Country_code,CAB,Infl,EXDEBT,rgdpe,pop,Gshare,GDPRank,advecon,Banking,Currency,Debt,Region,AmountAgreedPercentGDP,WGI,conditions,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6,FGrowth7,IMF
Cyprus,2013,CYP,-4.953484171344571,,,25595.252,.86193001,.15363936,1.4907089,1,0,0,1,Europe,5.6219611,1.2430011,88,-6.5530782,-3.4468222,.40143794,2.0146956,-2.0152624,3.646812,-1.8637398,3.374687,6.7465835,4.3612289,4.0601916,,,1
Czech Republic,1996,CZE,-6.161836015615029,8.758774728781111,,215567.64,10.35057,.29549471,1.7946049,1,1,0,0,Rich,,.90648639,0,4.2228146,6.221406,2.9093094,.061904248,-.50654233,-11.614943,-.59465909,-.3287155,1.4328395,4.2667413,2.9087648,1.6524941,3.6029894,0
Germany,2008,DEU,5.683944930729473,2.62838174873985,,3244136,81.130943,.15829328,2.144978,1,1,0,0,Rich,,1.6408876,0,.96226645,2.9840772,3.8145878,.72185379,1.1899149,-.71353346,-5.6971517,4.1789689,3.9241333,.41955107,.42824325,2.2256887,1.7397498,0
Djibouti,1991,DJI,22.07293315697691,,,1344.8816,.60684401,.47759971,.21153556,0,1,0,0,Africa,,-.90428275,0,,,,,,,,,,,,,,0
Dominica,2002,DMA,-14.21233022130283,.170055330197674,81.62929208064915,579.92084,.069824003,.30102229,.61335593,0,0,0,1,Island,1.2746494,.36931258,82,-2.8288786,-.062802263,2.3395073,.35478029,3.7738473,2.1852996,6.3533916,3.0506947,.65623313,4.6587596,6.3537593,7.1207418,-1.1697571,1
Denmark,2008,DNK,2.946877469344384,3.41626794258375,,234917.56,5.4977951,.21523963,2.2921195,1,1,0,0,Rich,,2.0422227,0,-.51201671,.90923893,3.913008,2.3366413,2.6682193,.39005852,-4.9065475,1.8709911,1.3367778,.2264998,.93334097,1.6193938,2.3425903,0
Dominican Republic,1982,DOM,-5.353557345719332,7.6462430660615,33.69978322287773,28085.854,6.0788202,.14272949,.45840031,0,0,0,1,Island,4.3041158,-.48796615,66,1.6987087,4.2798676,7.9687386,4.5313993,2.1406846,4.9817839,4.6279464,1.252896,-2.122535,3.5219932,10.117368,2.1559634,4.4005389,1
Dominican Republic,1985,DOM,-2.132976856156619,45.3361755532178,75.6211025755662,28939.264,6.4888558,.11962099,.45281014,0,0,1,0,Island,1.5799844,-.48796615,42,-2.122535,1.252896,4.6279464,1.6987087,4.2798676,7.9687386,3.5219932,10.117368,2.1559634,4.4005389,-5.4543123,.94413888,11.220933,1
Dominican Republic,1990,DOM,-3.95268341371983,50.4624792378524,66.35177327487625,32279.195,7.1836472,.09829583,.41991922,0,0,1,0,Island,.55151552,-.48796615,42,-5.4543123,4.4005389,2.1559634,10.117368,3.5219932,-2.122535,.94413888,11.220933,7.3645129,2.6003542,5.6854305,5.9778252,8.8852692,1
Dominican Republic,2003,DOM,4.787624674928217,27.4497127394394,35.9364873836831,68750.656,8.9677601,.11070142,.54932821,0,1,1,1,Island,2.8331332,-.48796615,104,-1.3457062,4.4951034,2.4595163,4.6617622,5.9400492,6.7144775,2.5701342,9.428237,9.1743555,7.4159517,3.2095044,.94615519,8.3396511,1
Algeria,1988,DZA,-3.451807577701299,5.9115449637349,45.72842478290541,198114.8,24.591492,.2317974,.80525297,0,0,1,0,MidEast,.35873368,-.60164398,56,-1.0000055,-.69999754,.40000099,3.6999972,5.5999966,5.400003,4.400002,.80000061,-1.2000006,1.8000023,-2.1000009,-.89999652,3.7999947,1
Algeria,1990,DZA,2.28907848785349,16.6525343885433,46.95832699310944,214609.23,25.912367,.19414885,.77397931,0,1,0,0,MidEast,.89782864,-.60164398,47,.80000061,4.400002,-1.0000055,-.69999754,.40000099,3.6999972,-1.2000006,1.8000023,-2.1000009,-.89999652,3.7999947,4.0999985,1.0999999,1
