Country,year,Country_code,CAB,Infl,EXDEBT,rgdpe,pop,Gshare,GDPRank,advecon,Banking,Currency,Debt,Region,AmountAgreedPercentGDP,WGI,conditions,DPWT,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6,FGrowth7,IMF
Cameroon,1994,CMR,-.5289488344068328,35.0944618459464,93.09154088382996,29303.875,13.10966,.11260444,.20654006,0,0,1,0,Africa,1.094829,-.83878541,94,2.1239645,-3.1581035,-3.0501575,-3.764046,-6.1611085,-3.1460917,3.4697869,4.3610487,5.2312479,4.5023079,4.2920799,3.5532939,4.3680754,1
"Congo, Dem. Rep.",1976,COD,,80.38595907541399,30.70569079814191,42271.938,23.559071,.39948687,.17807248,0,0,1,1,Africa,.49011567,-1.6408192,,-5.3089995,-4.9816303,3.1305864,8.13727,.15113991,6.0050168,.76079494,-5.3452964,.43009269,2.1949074,2.3505261,-.4576748,1.4116994,1
"Congo, Dem. Rep.",1983,COD,,76.5266976662659,49.9063547027945,54300.328,28.404877,.2804423,.19384532,0,1,1,0,Africa,2.2143891,-1.6408192,48,1.4116994,-.4576748,2.3505261,2.1949074,.43009269,-5.3452964,5.5410714,.46785715,4.7172079,2.6756387,.47038206,-1.266048,-6.5683146,1
"Congo, Dem. Rep.",1989,COD,,104.06522942826,110.4938423974845,62094.344,33.465443,.28516528,.17948472,0,0,1,0,Africa,1.6537163,-1.6408192,67,-1.266048,.47038206,2.6756387,4.7172079,.46785715,5.5410714,-6.5683146,-8.4210463,-10.500015,-13.469048,-3.8999934,.69999826,-1.023175,1
"Congo, Dem. Rep.",1991,COD,,2154.43682711341,140.7781770646054,37787.457,35.914825,.27432483,.10042696,0,1,0,0,Africa,,-1.6408192,0,-8.4210463,-6.5683146,-1.266048,.47038206,2.6756387,4.7172079,-10.500015,-13.469048,-3.8999934,.69999826,-1.023175,-5.617043,-1.6241572,0
"Congo, Dem. Rep.",1994,COD,,23773.1317741016,240.159810205565,30159.506,40.273701,.17953379,.069194794,0,1,1,0,Africa,,-1.6408192,0,-3.8999934,-13.469048,-10.500015,-8.4210463,-6.5683146,-1.266048,.69999826,-1.023175,-5.617043,-1.6241572,-4.2701387,-6.9102983,-2.1004694,0
"Congo, Dem. Rep.",1999,COD,,284.894975914087,284.1683446650848,26484.227,45.898666,.10251127,.045625735,0,0,1,0,Africa,,-1.6408192,0,-4.2701387,-1.6241572,-5.617043,-1.023175,.69999826,-3.8999934,-6.9102983,-2.1004694,2.9468596,5.5773501,6.7392607,6.1353712,5.3209295,0
"Congo, Dem. Rep.",2009,COD,-6.022509208639161,2.79999999999981,73.35054963988745,36893.379,62.409435,.096783347,.033925921,0,0,1,0,Africa,2.8628821,-1.6408192,79,2.8550727,6.2259192,6.2594404,5.3209295,6.1353712,6.7392607,7.1079435,6.8747282,7.086843,8.4819784,9.4698238,6.9168124,2.400171,1
"Congo, Dem. Rep.",2016,COD,-4.050289513685862,2.88585107290009,13.9325261800154,62136.102,78.736153,.11583147,.039542712,0,0,1,0,Africa,,-1.6408192,,2.400171,6.9168124,9.4698238,8.4819784,7.086843,6.8747282,3.6998534,,,,,,,0
"Congo, Rep.",1986,COG,-32.48323777938425,4.1581108829568,186.3123048833766,4896.4346,2.188046,.65545762,.23491302,0,0,0,1,Africa,1.4210368,-1.1915934,48,-6.8818679,-1.1526141,7.2185764,5.6096873,23.568197,21.218254,.18938278,1.7662646,1.7646763,1.0034084,2.3953676,2.6119506,-.97968566,1
"Congo, Rep.",1994,COG,-44.84099550539261,42.4396750333452,357.481067140909,4363.4595,2.722497,.38691851,.14809291,0,0,1,0,Africa,1.8740147,-1.1915934,75,-5.4930768,-.97968566,2.6119506,2.3953676,1.0034084,1.7646763,3.9853284,6.3919868,-2.4369617,3.5983677,-2.6020534,7.5735297,3.8096294,1
Colombia,1982,COL,-7.836670825132906,24.7002398081535,27.68442290267662,193741.98,29.027163,.10373267,.66220999,0,1,0,0,LatAm,,-.13174106,0,.94842106,2.2768767,4.0873489,5.3791223,8.4699011,4.1585016,1.5739502,3.3506863,3.1071074,5.8240738,5.3689342,4.0641761,3.4140956,0
Colombia,1985,COL,-5.184211253064158,23.9741816505302,43.57275461891992,198503.89,31.011688,.093021974,.64989084,0,0,1,0,LatAm,,-.13174106,0,3.1071074,3.3506863,1.5739502,.94842106,2.2768767,4.0873489,5.8240738,5.3689342,4.0641761,3.4140956,4.2819982,2.001605,4.0449347,0
Colombia,1998,COL,-4.93441634428213,18.6812565385812,34.54409592745641,287279.66,39.234062,.12475789,.59956837,0,1,0,0,LatAm,3.1047213,-.13174106,24,.56977975,3.4302931,2.0558577,5.2024331,5.147346,5.7101631,-4.2040153,2.9248686,1.6778929,2.5039811,3.9182727,5.3330245,4.7065501,1
Comoros,1994,COM,-2.260928334059323,,61.68158338210414,1247.3763,.462277,.25301805,.24932507,0,0,1,0,Island,,-1.561964,55,-5.2766776,3.0059326,8.5309258,1.7809242,.85246527,-1.6366706,3.6099977,-1.3400035,4.220005,1.1500016,1.919995,2.3945174,2.2999957,0
Cabo Verde,1993,CPV,-4.87949553365867,5.78839590443698,30.03198887103862,810.08704,.36901399,.18775551,.2081711,0,1,0,0,Africa,,.11462396,0,7.3136373,3.0434766,1.4066823,.68809527,5.6989322,5.996871,6.9275403,7.4899416,6.6968007,7.6383367,8.4135847,11.86183,7.2658043,0
Costa Rica,1981,CRI,-15.59194414284269,37.0572006829526,146.4961597620316,17147.758,2.454129,.17755479,.64927346,0,0,1,1,Island,12.437356,.31522611,32,-2.2595434,.75188112,4.9424715,6.2652802,8.9029837,5.5131793,-7.2852573,2.8594258,8.0284748,.72053301,5.5288668,4.7646708,3.43872,1
Costa Rica,1987,CRI,-5.657019914006582,16.8466527583525,114.0720653576177,20711.297,2.872211,.16392566,.73350573,0,1,0,0,Island,1.1410465,.31522611,48,4.7646708,5.5288668,.72053301,8.0284748,2.8594258,-7.2852573,3.43872,5.665771,3.5520952,2.2623341,9.1965647,7.0875139,4.4872694,1
Costa Rica,1991,CRI,-1.048960851702741,28.7093208307046,58.79244235969956,23330.162,3.1756489,.14535967,.70123196,0,0,1,0,Island,.64199531,.31522611,76,2.2623341,3.5520952,5.665771,3.43872,4.7646708,5.5288668,9.1965647,7.0875139,4.4872694,4.1214938,1.2378186,5.5649419,6.9616966,1
