Country,year,AmountAgreedPercentGDP,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
Colombia,1971,.48735967,5.9607282,6.2077971,6.1025171,5.9331179,4.1348643,5.2367358,7.6691475,6.7229548,5.7457571,2.3232553,4.7283688,4.1585054
Colombia,1972,.50082916,7.6691475,5.9607282,6.2077971,6.1025171,5.9331179,4.1348643,6.7229548,5.7457571,2.3232553,4.7283688,4.1585054,8.4699011
Colombia,1973,.23112819,6.7229548,7.6691475,5.9607282,6.2077971,6.1025171,5.9331179,5.7457571,2.3232553,4.7283688,4.1585054,8.4699011,5.3791189
Colombia,2003,2.2908478,3.918272,2.5039804,1.6778983,2.9248614,-4.2040153,.5697841,5.3330221,4.7065558,6.7794051,6.8486547,3.2570484,1.205422
Colombia,2005,.41201717,4.7065558,5.3330221,3.918272,2.5039804,1.6778983,2.9248614,6.7794051,6.8486547,3.2570484,1.205422,4.3475533,7.3625307
Colombia,2009,4.6171641,1.205422,3.2570484,6.8486547,6.7794051,4.7065558,5.3330221,4.3475533,7.3625307,3.9030542,4.5668697,4.728312,2.955946
Colombia,2010,1.2382569,4.3475533,1.205422,3.2570484,6.8486547,6.7794051,4.7065558,7.3625307,3.9030542,4.5668697,4.728312,2.955946,2.0873826
Colombia,2011,1.8267105,7.3625307,4.3475533,1.205422,3.2570484,6.8486547,6.7794051,3.9030542,4.5668697,4.728312,2.955946,2.0873826,1.3513267
Colombia,2013,1.5400971,4.5668697,3.9030542,7.3625307,4.3475533,1.205422,3.2570484,4.728312,2.955946,2.0873826,1.3513267,2.569221,
Colombia,2015,1.8449435,2.955946,4.728312,4.5668697,3.9030542,7.3625307,4.3475533,2.0873826,1.3513267,2.569221,,,
Colombia,2016,4.0201216,2.0873826,2.955946,4.728312,4.5668697,3.9030542,7.3625307,1.3513267,2.569221,,,,
Cabo Verde,1998,.64870781,12.517285,11.118426,11.346525,14.211637,19.182642,8.7083111,11.222649,14.284869,2.2316544,5.2508912,4.1762595,10.197073
Costa Rica,1965,1.6863942,,,,,,,6.9693189,5.650126,8.4733047,5.4917998,7.5031343,6.7785053
Costa Rica,1966,1.5448653,6.9693189,,,,,,5.650126,8.4733047,5.4917998,7.5031343,6.7785053,8.1780453
Costa Rica,1967,2.2160058,5.650126,6.9693189,,,,,8.4733047,5.4917998,7.5031343,6.7785053,8.1780453,7.7089157
Costa Rica,1976,.55511492,5.5175643,2.100071,5.5448999,7.7089157,8.1780453,6.7785053,8.9044743,6.2676868,4.9391241,.75189543,-2.2616556,-7.2855687
Costa Rica,1980,1.6297927,.75189543,4.9391241,6.2676868,8.9044743,5.5175643,2.100071,-2.2616556,-7.2855687,2.8629928,8.0241079,.72160172,5.5362511
Costa Rica,1982,3.9071512,-7.2855687,-2.2616556,.75189543,4.9391241,6.2676868,8.9044743,2.8629928,8.0241079,.72160172,5.5362511,4.764533,3.4321473
Costa Rica,1985,1.3989596,.72160172,8.0241079,2.8629928,-7.2855687,-2.2616556,.75189543,5.5362511,4.764533,3.4321473,5.6659756,3.5530634,2.265655
Costa Rica,1987,1.1410465,4.764533,5.5362511,.72160172,8.0241079,2.8629928,-7.2855687,3.4321473,5.6659756,3.5530634,2.265655,9.1965609,7.0875173
Costa Rica,1989,1.0252018,5.6659756,3.4321473,4.764533,5.5362511,.72160172,8.0241079,3.5530634,2.265655,9.1965609,7.0875173,4.487267,4.1214962
Costa Rica,1991,.64199531,2.265655,3.5530634,5.6659756,3.4321473,4.764533,5.5362511,9.1965609,7.0875173,4.487267,4.1214962,1.2378163,5.5649457
Costa Rica,1993,.30804095,7.0875173,9.1965609,2.265655,3.5530634,5.6659756,3.4321473,4.487267,4.1214962,1.2378163,5.5649457,6.9617004,3.9433537
Costa Rica,1995,.68515253,4.1214962,4.487267,7.0875173,9.1965609,2.265655,3.5530634,1.2378163,5.5649457,6.9617004,3.9433537,3.8331666,3.4904695
Costa Rica,2009,2.4822571,-.97054833,4.6495981,8.1678963,7.2377329,3.8708732,4.336575,4.9518638,4.3071017,4.7969198,2.2690275,3.5153387,3.6317315
Cyprus,1980,.51352865,5.7532449,9.9055691,7.7774034,16.362001,20.266293,,2.5169985,6.021709,5.5821819,8.7578945,4.8825407,3.7039504
Czech Republic,1993,.60852975,.061904248,-.50654233,-11.614943,,,,2.9093094,6.221406,4.2228146,-.59465909,-.3287155,1.4328395
Djibouti,1996,2.4244695,,,,,,,,,,,,
Dominica,1984,1.3146322,4.1966467,2.556318,4.1276836,10.829331,13.383183,-18.359285,1.4209332,7.0733566,6.3075609,7.8166232,-.19113651,5.4186521
Dominica,2002,1.2746494,-2.8288786,-.062802263,2.3395073,.35478029,3.7738473,2.1852996,6.3533916,3.0506947,.65623313,4.6587596,6.3537593,7.1207418
Dominican Republic,1985,1.5799844,-2.122535,1.252896,4.6279464,1.6987087,4.2798676,7.9687386,3.5219932,10.117368,2.1559634,4.4005389,-5.4543123,.94413888
Dominican Republic,1991,.55151552,.94413888,-5.4543123,4.4005389,2.1559634,10.117368,3.5219932,11.220933,7.3645129,2.6003542,5.6854305,5.9778252,8.8852692
Dominican Republic,1993,.33944765,7.3645129,11.220933,.94413888,-5.4543123,4.4005389,2.1559634,2.6003542,5.6854305,5.9778252,8.8852692,6.7144775,5.9400492
Dominican Republic,2003,2.8331332,-1.3457062,4.4951034,2.4595163,4.6617622,5.9400492,6.7144775,2.5701342,9.428237,9.1743555,7.4159517,3.2095044,.94615519
Dominican Republic,2005,1.7902325,9.428237,2.5701342,-1.3457062,4.4951034,2.4595163,4.6617622,9.1743555,7.4159517,3.2095044,.94615519,8.3396511,3.1334231
Dominican Republic,2009,3.48646,.94615519,3.2095044,7.4159517,9.1743555,9.428237,2.5701342,8.3396511,3.1334231,2.7173679,4.875205,7.0504637,6.9270186
Algeria,1989,.35873368,4.400002,-1.0000055,-.69999754,.40000099,3.6999972,5.5999966,.80000061,-1.2000006,1.8000023,-2.1000009,-.89999652,3.7999947
Algeria,1991,.89782864,-1.2000006,.80000061,4.400002,-1.0000055,-.69999754,.40000099,1.8000023,-2.1000009,-.89999652,3.7999947,4.0999985,1.0999999
Algeria,1994,1.538631,-.89999652,-2.1000009,1.8000023,-1.2000006,.80000061,4.400002,3.7999947,4.0999985,1.0999999,5.1000037,3.2000015,3.8
Ecuador,1965,.50271291,,,,,,,-.33952564,4.6210737,1.9094384,4.6692381,6.8719292,6.2926064
Ecuador,1966,.53513145,-.33952564,,,,,,4.6210737,1.9094384,4.6692381,6.8719292,6.2926064,5.0176406
Ecuador,1969,.57837516,4.6692381,1.9094384,4.6210737,-.33952564,,,6.8719292,6.2926064,5.0176406,13.950682,11.208509,10.972154
Ecuador,1970,.76855785,6.8719292,4.6692381,1.9094384,4.6210737,-.33952564,,6.2926064,5.0176406,13.950682,11.208509,10.972154,7.3971877
Ecuador,1972,.5622853,5.0176406,6.2926064,6.8719292,4.6692381,1.9094384,4.6210737,13.950682,11.208509,10.972154,7.3971877,1.6048421,5.7068248
Ecuador,1983,.98159027,-.33686876,.61484534,5.612864,3.708683,3.7340484,5.7068248,2.6252732,3.9350014,3.4647825,-.25909871,5.8904672,1.005778
Ecuador,1985,.6246267,3.9350014,2.6252732,-.33686876,.61484534,5.612864,3.708683,3.4647825,-.25909871,5.8904672,1.005778,3.679914,4.2913423
Ecuador,1986,.57761157,3.4647825,3.9350014,2.6252732,-.33686876,.61484534,5.612864,-.25909871,5.8904672,1.005778,3.679914,4.2913423,2.1143107
Ecuador,1988,.77585638,5.8904672,-.25909871,3.4647825,3.9350014,2.6252732,-.33686876,1.005778,3.679914,4.2913423,2.1143107,1.9732181,4.2582502
Ecuador,1989,1.0140835,1.005778,5.8904672,-.25909871,3.4647825,3.9350014,2.6252732,3.679914,4.2913423,2.1143107,1.9732181,4.2582502,2.2525487
Ecuador,1991,.60400391,4.2913423,3.679914,1.005778,5.8904672,-.25909871,3.4647825,2.1143107,1.9732181,4.2582502,2.2525487,1.7317475,4.3278646
